gene	zcount_L-brain-1_S70	zcount_L-brain-2_S71	zcount_L-brain-3_S72	zcount_L-ovary-1_S64	zcount_L-ovary-2_S65	zcount_L-ovary-3_S66	zcount_N-brain-1_S67	zcount_N-brain-2_S68	zcount_N-brain-3_S69	zcount_N-ovary-1_S61	zcount_N-ovary-2_S62	zcount_N-ovary-3_S63
a1cf	0	0	0	0	0	0	0	0	0	0	0	0
a2ml	0	0	0	0	0	0	0	0	0	0	0	0
aaas	0	0	0	0	0	0	0	0	0	0	0	0
aacs	0	0	0	0	0	0	0	0	0	0	0	0
aadac	0	0	0	0	0	0	0	0	0	0	0	0
aadacl4	0	0	0	0	0	0	0	0	0	0	0	0
aadat	0	0	0	0	0	0	0	0	0	0	0	0
aaed1	0	0	0	0	0	0	0	0	0	0	0	0
aagab	0	0	0	0	0	0	0	0	0	0	0	0
aagab_1	184.228492060383	212.351651622042	216.839838647007	256.840009415787	275.602939606607	270.378718872245	190.519426191765	192.982554423751	167.141609336913	261.058731893131	248.373419115615	269.066397143378
aak1a	0	0	0	0	0	0	0	0	0	0	0	0
aak1b	0	0	0	0	0	0	0	0	0	0	0	0
aamdc	0	0	0	0	0	0	0	0	0	0	0	0
aamp	0	0	0	0	0	0	0	0	0	0	0	0
aanat1	0	0	0	0	0	0	0	0	0	0	0	0
aanat2	0	0	0	0	0	0	0	0	0	0	0	0
aar2	0	0	0	0	0	0	0	0	0	0	0	0
aars	0	0	0	0	0	0	0	0	0	0	0	0
aars_1	134.444660216008	334.858443919519	322.693660880228	387.656935792769	453.565794033234	393.12982562474	219.307003454345	183.901684291874	213.629003839216	333.280855254958	246.620684952529	438.988497473034
aars2	0	0	0	0	0	0	0	0	0	0	0	0
aars2_1	34.6641635316703	12.6406504542506	43.6685974590905	57.1311862042937	24.4602879139305	40.3204434399936	36.2486989978983	36.3539860666033	13.4398906482325	52.2763174101718	57.1059757132219	39.3716943609543
aarsd1	0	0	0	0	0	0	0	0	0	0	0	0
aasdh	0	0	0	0	0	0	0	0	0	0	0	0
aasdhppt	0	0	0	0	0	0	0	0	0	0	0	0
aass	0	0	0	0	0	0	0	0	0	0	0	0
aatf	0	0	0	0	0	0	0	0	0	0	0	0
aatf_1	129.236058126279	60.5428724989461	55.4364202650668	330.669031880374	430.108138881447	381.787944424961	40.1629134829037	59.0618640467094	56.1029294507231	261.832257987549	301.648667612671	333.346583107562
aatka	0	0	0	0	0	0	0	0	0	0	0	0
aatkb	0	0	0	0	0	0	0	0	0	0	0	0
aatkb_1	11.3725653783349	136.405422481468	126.615226617036	3.45333746888713	6.29454570247375	2.69274264639202	165.167162253882	142.843519420695	63.7277602321165	10.7714129568091	3.33792536213477	4.25107057139193
aatkb_2	6.26994054717297	368.662958354037	391.07030381765	7.96050201505444	19.4853121149396	6.04576647224795	485.794888804688	397.363121243303	129.120348207934	38.8704417214077	6.91554848604614	7.8414379845583
abat	0	0	0	0	0	0	0	0	0	0	0	0
abca12	0	0	0	0	0	0	0	0	0	0	0	0
abca1a	0	0	0	0	0	0	0	0	0	0	0	0
abca1b	0	0	0	0	0	0	0	0	0	0	0	0
abca2	0	0	0	0	0	0	0	0	0	0	0	0
abca3b	0	0	0	0	0	0	0	0	0	0	0	0
abca4a	0	0	0	0	0	0	0	0	0	0	0	0
abca4b	0	0	0	0	0	0	0	0	0	0	0	0
abca5	0	0	0	0	0	0	0	0	0	0	0	0
abcb10	0	0	0	0	0	0	0	0	0	0	0	0
abcb11a	0	0	0	0	0	0	0	0	0	0	0	0
abcb11b	0	0	0	0	0	0	0	0	0	0	0	0
abcb3l1	0	0	0	0	0	0	0	0	0	0	0	0
abcb4	0	0	0	0	0	0	0	0	0	0	0	0
abcb5	0	0	0	0	0	0	0	0	0	0	0	0
abcb6a	0	0	0	0	0	0	0	0	0	0	0	0
abcb6b	0	0	0	0	0	0	0	0	0	0	0	0
abcb7	0	0	0	0	0	0	0	0	0	0	0	0
abcb8	0	0	0	0	0	0	0	0	0	0	0	0
abcb9	0	0	0	0	0	0	0	0	0	0	0	0
abcb9_1	5.20908015215423	145.140909514087	89.4378048208169	2.03410784697882	1.76113624512928	1.47163659259756	126.421214438188	104.109897511678	87.2633414261783	2.91144275028882	2.80740255062227	1.99356438589508
abcc1	0	0	0	0	0	0	0	0	0	0	0	0
abcc10	0	0	0	0	0	0	0	0	0	0	0	0
abcc10_1	36.2434566784433	30.9295389247194	43.9814146111706	77.8237872471111	53.8448206060415	77.6502535635426	31.432161158478	38.5782540088839	15.0349908145489	65.7985234098242	85.3858397779023	79.4763317896919
abcc10_2	28.1789359168751	27.1422484441415	36.59158342989	69.7520441471171	44.6331830543463	56.7630625685626	27.7046292262226	27.4277287637912	14.0386962425005	50.5864823393712	82.0227213621425	66.1985494128512
abcc12	0	0	0	0	0	0	0	0	0	0	0	0
abcc13	0	0	0	0	0	0	0	0	0	0	0	0
abcc13_1	0.330071077780042	1.11089939033021	3.18848059453696	0.643280024703888	0.358274270632297	0.341293561057444	4.53896648884761	1.44362172531083	0.1275212110826	1.88767042165202	0.723418644282142	0.0670052284983552
abcc13_2	0	6.71270892248934	1.35204766057833	0.143965817882812	1.51543302649562	0.572860240900414	5.14258330577379	7.2693444913082	0.770558323185661	2.26665985840203	3.0466788714667	1.14717441034137
abcc2	0	0	0	0	0	0	0	0	0	0	0	0
abcc2_1	2.19771708601295	17.8486013165737	81.7375709588549	0.310373970975269	0.207435027616038	0.823347793695678	38.1879569129425	37.6125169043848	16.7969450926784	0.630536969120873	0.618752334523452	0.533430524448138
abcc3	0	0	0	0	0	0	0	0	0	0	0	0
abcc4	0	0	0	0	0	0	0	0	0	0	0	0
abcc4_1	7.33980233843975	78.3931043844241	40.7683158926096	8.7738805600112	14.9668281329279	12.0640069503337	29.6272371250527	31.197263178412	43.8467092960393	26.4101001703864	19.5694580075019	18.0005497394768
abcc5	0	0	0	0	0	0	0	0	0	0	0	0
abcc6a	0	0	0	0	0	0	0	0	0	0	0	0
abcc6b.2	0	0	0	0	0	0	0	0	0	0	0	0
abcc8	0	0	0	0	0	0	0	0	0	0	0	0
abcc8_1	6.86316985520284	118.043535956678	104.56088050394	17.7830524431365	18.75243888601	11.0526244441134	108.210126343256	98.8498600766527	21.4866925190713	14.9921731263136	10.3738262836821	10.6654932479025
abcc8b	0	0	0	0	0	0	0	0	0	0	0	0
abcc9	0	0	0	0	0	0	0	0	0	0	0	0
abcd1	0	0	0	0	0	0	0	0	0	0	0	0
abcd3a	0	0	0	0	0	0	0	0	0	0	0	0
abcd3a_1	30.6687862547532	76.7821782682255	66.491720750995	87.3128023220647	69.1183950395974	89.6477209750827	137.539938304469	166.069887169234	188.385009840667	154.310890144703	148.353490672926	217.310582273073
abcd3a_2	34.1645883475574	111.620166172633	64.1841322841965	48.719877173481	95.5134215556578	86.5922492794383	53.8925039470494	78.5845889496769	38.3101854444754	49.671466003217	59.6041261291157	81.7880841575461
abcd3b	0	0	0	0	0	0	0	0	0	0	0	0
abcd4	0	0	0	0	0	0	0	0	0	0	0	0
abce1	0	0	0	0	0	0	0	0	0	0	0	0
abcf1	0	0	0	0	0	0	0	0	0	0	0	0
abcf2a	0	0	0	0	0	0	0	0	0	0	0	0
abcf2b	0	0	0	0	0	0	0	0	0	0	0	0
abcf3	0	0	0	0	0	0	0	0	0	0	0	0
abcg1	0	0	0	0	0	0	0	0	0	0	0	0
abcg2a	0	0	0	0	0	0	0	0	0	0	0	0
abcg2b	0	0	0	0	0	0	0	0	0	0	0	0
abcg2b_1	0.378275319187661	1.6975164835762	1.28215182028995	0	0.13686578760719	0.108649099001145	1.35464746028057	0.344677319579799	0.487148880678495	0.277352511726925	0	0
abcg2c	0	0	0	0	0	0	0	0	0	0	0	0
abcg2d	0	0	0	0	0	0	0	0	0	0	0	0
abcg4a	0	0	0	0	0	0	0	0	0	0	0	0
abcg4b	0	0	0	0	0	0	0	0	0	0	0	0
abcg5	0	0	0	0	0	0	0	0	0	0	0	0
abcg5_1	0.1139982583141	1.15103022517076	0.86938507678132	0	0.123738932612732	0.0982285184250854	0	0	0	0	0	0.115709613185816
abcg8	0	0	0	0	0	0	0	0	0	0	0	0
abcg8_1	0.341828354127243	1.53396015085206	1.73792403669959	0.123369248317096	0.247357438040439	0.0981807186594287	1.22412668308565	1.86880520426186	0.22010595411678	0	0.113513202002599	0.115653306804704
abch1	0	0	0	0	0	0	0	0	0	0	0	0
abch1_1	0.466041216389006	45.9353897178137	56.3589938003072	0.432511467657036	0.289064279313678	0.229469862775235	59.509890181192	57.3274726968444	13.5039414983077	0.292888037689451	0.331631546936795	0.67576782906928
abhd10a	0	0	0	0	0	0	0	0	0	0	0	0
abhd10b	0	0	0	0	0	0	0	0	0	0	0	0
abhd10b_1	316.105770479169	26.0464483665336	103.914602041813	344.190793285759	602.229415399997	407.968343349551	51.5907153190954	138.861729076	91.9968276020305	684.396938293372	689.331525603555	716.829486759632
abhd11	0	0	0	0	0	0	0	0	0	0	0	0
abhd12	0	0	0	0	0	0	0	0	0	0	0	0
abhd12_1	80.6703209289811	131.705188157576	187.948747236021	114.433005265196	162.940782507543	129.901160434533	170.921622676102	183.25171032065	50.4984869320049	118.001430805221	118.711873408013	92.7880143326639
abhd13	0	0	0	0	0	0	0	0	0	0	0	0
abhd14a	0	0	0	0	0	0	0	0	0	0	0	0
abhd14b	0	0	0	0	0	0	0	0	0	0	0	0
abhd15a	0	0	0	0	0	0	0	0	0	0	0	0
abhd15a_1	1.34515138123934	2.26364554472784	16.1205469222792	7.80233294906542	10.4292067126201	51.4131370622992	2.27093833985647	15.2334080355609	20.6020798784604	8.34806022319965	51.9759577975504	102.986018888285
abhd16a	0	0	0	0	0	0	0	0	0	0	0	0
abhd17aa	0	0	0	0	0	0	0	0	0	0	0	0
abhd17ab	0	0	0	0	0	0	0	0	0	0	0	0
abhd17ab_1	26.7189801424028	57.9587364140394	44.6166785876693	18.8689675190598	19.1852522975386	22.0265065726866	36.4692598648167	28.786027253478	41.1633071651413	26.7059651847281	22.9566937573828	22.4673376330238
abhd17b	0	0	0	0	0	0	0	0	0	0	0	0
abhd17c	0	0	0	0	0	0	0	0	0	0	0	0
abhd17c_1	148.749622228646	95.5238821212422	90.8396840869286	164.758077188429	175.564176806774	124.194845330735	84.3118928942771	118.712456184564	85.5423830221873	144.509316382547	165.222008917036	168.5105415587
abhd18	0	0	0	0	0	0	0	0	0	0	0	0
abhd2a	0	0	0	0	0	0	0	0	0	0	0	0
abhd2b	0	0	0	0	0	0	0	0	0	0	0	0
abhd2b_1	1.07628794851607	18.5144602987801	13.6801604778511	0.129481003724021	0.129805805713254	0.103044625559308	14.1324737850619	18.9600691433411	10.6264636581508	0	0	0
abhd3	0	0	0	0	0	0	0	0	0	0	0	0
abhd4	0	0	0	0	0	0	0	0	0	0	0	0
abhd5a	0	0	0	0	0	0	0	0	0	0	0	0
abhd6a	0	0	0	0	0	0	0	0	0	0	0	0
abhd6b	0	0	0	0	0	0	0	0	0	0	0	0
abhd6b_1	51.3601658051962	0	14.0536241124585	61.015630214894	63.2979771521723	68.9953223179447	1.14954166050617	1.94993383841489	0.688983603518633	23.9281496351035	57.7400074542925	23.1694179907915
abhd8a	0	0	0	0	0	0	0	0	0	0	0	0
abhd8b	0	0	0	0	0	0	0	0	0	0	0	0
abhd8b_1	1.91666375915821	12.3640222595537	9.54168901117725	1.55642172416418	2.08043465964435	1.8579662942764	8.40814709094881	16.372760465374	15.4269350515001	1.31747172819807	1.2729584180919	1.29695795625466
abi1a	0	0	0	0	0	0	0	0	0	0	0	0
abi1b	0	0	0	0	0	0	0	0	0	0	0	0
abi2a	0	0	0	0	0	0	0	0	0	0	0	0
abi2a_1	11.8139466486964	497.813409904294	287.108207536099	32.7457589074965	54.8841475918486	60.2637412171112	508.192919086731	215.723482685707	34.6883430009674	36.1206167429309	51.7853871093594	52.0422375075231
abi2b	0	0	0	0	0	0	0	0	0	0	0	0
abi3a	0	0	0	0	0	0	0	0	0	0	0	0
abi3b	0	0	0	0	0	0	0	0	0	0	0	0
abi3bp	0	0	0	0	0	0	0	0	0	0	0	0
abi3bpb	0	0	0	0	0	0	0	0	0	0	0	0
abi3bpb_1	1.41481826330611	38.310559974607	7.68366717406528	0.835563214364073	0.698049347944386	0.0554137261315917	12.2980856744273	37.2683180119346	140.502982446578	0.212184955071505	0.961011934009921	0.130550697876224
abi3bpb_2	1.28092134889038	27.160031582339	28.3292075949432	0.693445856924596	0.27807414396778	0.275931861112043	44.9997138475553	36.5901938003486	188.424483448114	0.352190655276874	0.446632223962634	0.0650075343226657
abl1	0	0	0	0	0	0	0	0	0	0	0	0
abl2	0	0	0	0	0	0	0	0	0	0	0	0
ablim1a	0	0	0	0	0	0	0	0	0	0	0	0
ablim1b	0	0	0	0	0	0	0	0	0	0	0	0
ablim1b_1	4.64375513883006	72.7358621872846	85.3584505896925	9.08895411800666	1.74480389647518	12.1580082156864	126.642488197488	99.1101097172513	15.8707977442099	0.19643158439241	10.1421578311018	13.9591159437393
ablim2	0	0	0	0	0	0	0	0	0	0	0	0
ablim2_1	0.343773055719819	45.12359562857	17.1503982865533	0.139579999242962	0.839580806855922	0.111081690316641	55.1220943014638	17.2673279540419	5.06356797179463	0.141781138083199	0.299667353791042	0.174466908044533
ablim3	0	0	0	0	0	0	0	0	0	0	0	0
ablim3_1	1.11869955659798	29.2522141777013	24.0633179282092	0.465865132840192	1.3076945043042	0.296598863425396	41.4178606951846	34.814309373037	15.2933596785441	0.757138719995443	0.60010562690459	0.524073970195514
ablim3_2	0.776195875946393	25.8336686731205	16.8815475719558	0.280136801427218	0.748905392520225	0.371567913158611	38.729745101427	27.1114419826387	9.66277299122615	0.663960460393794	0.515512994730036	0.437693453929402
abo	0	0	0	0	0	0	0	0	0	0	0	0
abraa	0	0	0	0	0	0	0	0	0	0	0	0
abrab	0	0	0	0	0	0	0	0	0	0	0	0
abracl	0	0	0	0	0	0	0	0	0	0	0	0
abraxas2a	0	0	0	0	0	0	0	0	0	0	0	0
abraxas2a_1	489.140442078563	74.5774376306733	119.804456237528	261.759748118903	215.928107631795	722.978267028367	68.5744356514145	155.04418318056	97.4271958979836	713.640940120958	714.635349887254	556.907426493504
abraxas2b	0	0	0	0	0	0	0	0	0	0	0	0
abt1	0	0	0	0	0	0	0	0	0	0	0	0
abtb1	0	0	0	0	0	0	0	0	0	0	0	0
abtb2a	0	0	0	0	0	0	0	0	0	0	0	0
abtb2b	0	0	0	0	0	0	0	0	0	0	0	0
abtb2b_1	0.946920603547274	9.38391764940759	14.9779299141308	0.740464944684616	1.42754306665104	1.04257732362118	14.8075049975319	17.4001257419956	51.4205289304092	1.21499841606548	2.09633457753621	1.06792875975586
acaa1	0	0	0	0	0	0	0	0	0	0	0	0
acaa2	0	0	0	0	0	0	0	0	0	0	0	0
acaca	0	0	0	0	0	0	0	0	0	0	0	0
acaca_1	23.17951834237	181.528575845575	228.136896723109	58.853740514129	47.3655846832559	48.191565682207	264.58213097928	181.571872852598	124.246434593394	72.188819139122	61.4205869323352	67.0220199572225
acacb	0	0	0	0	0	0	0	0	0	0	0	0
acad11	0	0	0	0	0	0	0	0	0	0	0	0
acad11_1	26.4649095716351	25.3992309083965	32.0614374717406	41.1906226698988	48.8121407947681	46.1423369561921	20.8798720857974	24.0201287015777	27.9578291388069	50.1400074825856	55.9229179481812	56.7673916585709
acad8	0	0	0	0	0	0	0	0	0	0	0	0
acad8_1	126.212830318361	156.374848771979	88.5836598379457	169.936101792576	98.5580223974468	44.4290025236695	211.229613020722	181.990875835483	89.7520975879458	172.927529294422	184.301353255073	61.8251933200099
acad9	0	0	0	0	0	0	0	0	0	0	0	0
acadl	0	0	0	0	0	0	0	0	0	0	0	0
acadl_1	201.55234525706	310.949274860005	201.507824255223	185.273029285913	499.803494433634	373.567425065643	234.554977392143	341.294464015189	152.863012934916	300.814034681656	466.00022006866	339.270077926134
acadm	0	0	0	0	0	0	0	0	0	0	0	0
acads	0	0	0	0	0	0	0	0	0	0	0	0
acadsb	44.0631064861212	151.465363862641	100.060253524324	59.3446428909845	103.967822311653	80.565644454508	85.1516005110268	52.5125684978401	75.7755472331125	38.4140389305777	57.4140397702132	63.950705009661
acadvl	0	0	0	0	0	0	0	0	0	0	0	0
acana	0	0	0	0	0	0	0	0	0	0	0	0
acanb	0	0	0	0	0	0	0	0	0	0	0	0
acanb_1	0.251939339979731	18.9937738498016	32.2789377248853	0.0545564461570116	0.328159803210525	0.0434175547331882	40.7083367973583	27.5474836436276	6.71614455863758	0.110833573117474	0.150593692779433	0.0511442964242879
acap1	0	0	0	0	0	0	0	0	0	0	0	0
acap1_1	5.2465091614895	22.4956103614251	23.0202921435761	18.4423394272919	14.2760090449168	13.5003008447628	21.156200474065	18.4672141041162	40.1227211848327	31.6171647806569	23.9856740603558	15.5381176144938
acap2	0	0	0	0	0	0	0	0	0	0	0	0
acap3a	0	0	0	0	0	0	0	0	0	0	0	0
acap3b	0	0	0	0	0	0	0	0	0	0	0	0
acat1	0	0	0	0	0	0	0	0	0	0	0	0
acat2	0	0	0	0	0	0	0	0	0	0	0	0
acbd3	0	0	0	0	0	0	0	0	0	0	0	0
acbd4	0	0	0	0	0	0	0	0	0	0	0	0
acbd5a	0	0	0	0	0	0	0	0	0	0	0	0
acbd5b	0	0	0	0	0	0	0	0	0	0	0	0
acbd6	0	0	0	0	0	0	0	0	0	0	0	0
acbd7	0	0	0	0	0	0	0	0	0	0	0	0
accs	0	0	0	0	0	0	0	0	0	0	0	0
acd	0	0	0	0	0	0	0	0	0	0	0	0
ace	0	0	0	0	0	0	0	0	0	0	0	0
ace2	0	0	0	0	0	0	0	0	0	0	0	0
acer1	0	0	0	0	0	0	0	0	0	0	0	0
acer2	0	0	0	0	0	0	0	0	0	0	0	0
acer3	0	0	0	0	0	0	0	0	0	0	0	0
ache	0	0	0	0	0	0	0	0	0	0	0	0
acin1a	0	0	0	0	0	0	0	0	0	0	0	0
acin1a_1	177.507165857897	574.77349071575	520.705398724234	317.0143976481	275.906238718707	289.124187258172	638.95405735793	456.265122639594	282.104221859307	304.22868979044	294.419486579376	294.340897646903
acin1b	0	0	0	0	0	0	0	0	0	0	0	0
ackr3a	0	0	0	0	0	0	0	0	0	0	0	0
ackr3a_1	1.0354181667973	120.475951140278	96.2610104471387	0.160154014713602	0.481667279064847	0	80.4095798403633	169.821622636177	75.7196462180325	1.13875720149662	0.442077631298815	0.600549704317538
ackr3b	0	0	0	0	0	0	0	0	0	0	0	0
ackr3b_1	2.90121741964475	21.9699997341319	53.4700996216377	1.96327159492746	3.67396669717266	3.54150067771516	77.4024718074157	13.2176723275103	102.746413893853	2.39307822844197	1.68599629407061	2.69937325794561
ackr4a	0	0	0	0	0	0	0	0	0	0	0	0
ackr4b	0	0	0	0	0	0	0	0	0	0	0	0
ackr4b_1	3.20831233907398	56.1862778547552	48.2439398320469	3.41485850137359	1.65268775950382	6.37239833974386	35.6364143888067	71.9442263610053	104.938555033505	6.57858773460973	9.64282261043445	10.7629287899013
aclya	0	0	0	0	0	0	0	0	0	0	0	0
aclyb	0	0	0	0	0	0	0	0	0	0	0	0
acmsd	0	0	0	0	0	0	0	0	0	0	0	0
aco1	0	0	0	0	0	0	0	0	0	0	0	0
aco2	0	0	0	0	0	0	0	0	0	0	0	0
aco2_1	139.238509052645	243.721930253961	301.558069132648	274.675100899968	139.071311262837	127.000544458324	1473.16321270518	419.467736606205	147.042301885006	628.913297122641	121.265311167555	110.834030848395
acot11a	0	0	0	0	0	0	0	0	0	0	0	0
acot11b	0	0	0	0	0	0	0	0	0	0	0	0
acot12	0	0	0	0	0	0	0	0	0	0	0	0
acot13	0	0	0	0	0	0	0	0	0	0	0	0
acot13_1	66.3045473832359	56.1793920594236	51.8624064021047	63.2554444886054	63.4141202295157	48.3428249470499	39.850777564214	44.3609948239388	56.4277571281761	69.8623516395398	60.5115278120985	9.88320486169698
acot14	0	0	0	0	0	0	0	0	0	0	0	0
acot14_1	40.4933842659088	2.69492144235551	11.0498687531242	61.1825890640286	45.4433194610052	84.8639694497573	2.70360368062053	17.823033512556	7.73381570583752	97.3726813508355	60.6250333274849	64.5545458177421
acot15	0	0	0	0	0	0	0	0	0	0	0	0
acot15_1	0.680675647026633	4.96363195615466	3.74908273905278	0.736987806080328	0.123139422280306	0.488763025303114	5.36267125409906	4.03142207944571	18.8465723212493	0.374304952236119	0.452072926580119	2.87872511486998
acot16	0	0	0	0	0	0	0	0	0	0	0	0
acot16_1	0.829837292063184	0.930976996456289	0.351588294488843	0.59899304262642	0.750619514431634	0.834217151751849	0.297174286324987	0.378066026260891	0	0.760548751147224	0.413354335703499	0.701912420211653
acot17	0	0	0	0	0	0	0	0	0	0	0	0
acot17_1	1.17730268334886	0	0	0.283266821554897	0	1.80345364777766	0	0	0	0.143866931362263	0.130318229114716	0.265550330149347
acot18	0	0	0	0	0	0	0	0	0	0	0	0
acot18_1	19.1553263890963	48.1118453907356	63.9573021564417	41.7896382348845	17.6887750334963	40.8121303589856	80.678766910375	76.5890679866293	58.3576403012066	45.8026168984545	44.9070146701491	39.466161398997
acot19	0	0	0	0	0	0	0	0	0	0	0	0
acot20	0	0	0	0	0	0	0	0	0	0	0	0
acot21	0	0	0	0	0	0	0	0	0	0	0	0
