gene	zcount_h-brain-1_S11	zcount_h-brain-2_S12	zcount_h-brain-3_S13	zcount_h-testis-1_S16	zcount_h-testis-2_S17	zcount_n-testis-1_S33	zcount_n-testis-2_S34	zcount_n-testis-3_S35	zcount_wt-brain_S44
a1cf	0	0	0	0	0	0	0	0	0
a2ml	0	0	0	0	0	0	0	0	0
aaas	0	0	0	0	0	0	0	0	0
aacs	0	0	0	0	0	0	0	0	0
aadac	0	0	0	0	0	0	0	0	0
aadacl4	0	0	0	0	0	0	0	0	0
aadat	0	0	0	0	0	0	0	0	0
aaed1	0	0	0	0	0	0	0	0	0
aagab	0	0	0	0	0	0	0	0	0
aagab_1	176.286203468026	139.936752709424	187.039643735663	274.554836689438	242.755625219027	272.250938039473	315.888222492694	342.675979667521	234.22542095419
aak1a	0	0	0	0	0	0	0	0	0
aak1b	0	0	0	0	0	0	0	0	0
aamdc	0	0	0	0	0	0	0	0	0
aamp	0	0	0	0	0	0	0	0	0
aanat1	0	0	0	0	0	0	0	0	0
aanat2	0	0	0	0	0	0	0	0	0
aar2	0	0	0	0	0	0	0	0	0
aars	0	0	0	0	0	0	0	0	0
aars_1	226.738601607246	233.311445702812	302.123388132082	250.572622935116	318.966322591881	239.824385866161	239.332986670858	260.427375862377	411.497741735581
aars2	0	0	0	0	0	0	0	0	0
aars2_1	6.3837547718204	14.9787677715151	8.35549756834746	16.7917407789933	72.7679018955839	104.108733134932	78.1201044103653	104.312077574208	17.3131455924055
aarsd1	0	0	0	0	0	0	0	0	0
aasdh	0	0	0	0	0	0	0	0	0
aasdhppt	0	0	0	0	0	0	0	0	0
aass	0	0	0	0	0	0	0	0	0
aatf	0	0	0	0	0	0	0	0	0
aatf_1	35.8003103249611	35.4796723875931	48.9845710469201	68.5182298095617	94.4011065865249	129.803905377731	78.7764553662153	75.1784195669151	63.3831544867849
aatka	0	0	0	0	0	0	0	0	0
aatkb	0	0	0	0	0	0	0	0	0
aatkb_1	123.677354929951	136.203574833512	112.245331010836	6.62575121213027	7.48361886737757	22.6223262019071	5.82794359902042	4.53664974821877	110.487748056688
aatkb_2	151.606127195557	184.02425393589	530.863741025342	23.1098683096982	23.1497841931438	76.778669599901	15.2841345558874	7.14405737516612	300.022269226122
abat	0	0	0	0	0	0	0	0	0
abca12	0	0	0	0	0	0	0	0	0
abca1a	0	0	0	0	0	0	0	0	0
abca1b	0	0	0	0	0	0	0	0	0
abca2	0	0	0	0	0	0	0	0	0
abca3b	0	0	0	0	0	0	0	0	0
abca4a	0	0	0	0	0	0	0	0	0
abca4b	0	0	0	0	0	0	0	0	0
abca5	0	0	0	0	0	0	0	0	0
abcb10	0	0	0	0	0	0	0	0	0
abcb11a	0	0	0	0	0	0	0	0	0
abcb11b	0	0	0	0	0	0	0	0	0
abcb3l1	0	0	0	0	0	0	0	0	0
abcb4	0	0	0	0	0	0	0	0	0
abcb5	0	0	0	0	0	0	0	0	0
abcb6a	0	0	0	0	0	0	0	0	0
abcb6b	0	0	0	0	0	0	0	0	0
abcb7	0	0	0	0	0	0	0	0	0
abcb8	0	0	0	0	0	0	0	0	0
abcb9	0	0	0	0	0	0	0	0	0
abcb9_1	97.1659793713714	88.4191910321826	136.225244327818	50.5871997177051	50.353506245506	49.5348090868893	56.641433850533	45.8450627410033	77.4230317502464
abcc1	0	0	0	0	0	0	0	0	0
abcc10	0	0	0	0	0	0	0	0	0
abcc10_1	14.2100048842434	15.023245978559	27.6588187243738	67.9185935225016	71.9301757686988	66.837645689292	78.6911127906001	58.2867855773194	23.9040627846053
abcc10_2	14.2100048842434	10.7110179661949	25.191600152716	62.782773950584	71.5711233106187	56.7073929653796	78.4555106564966	58.4931104820179	18.7289564085567
abcc12	0	0	0	0	0	0	0	0	0
abcc13	0	0	0	0	0	0	0	0	0
abcc13_1	0.877499201102881	0.587555135928045	2.01110182089308	7.37855012346055	8.93099546184924	5.73616356081409	0.99514834314633	0.580990456196329	1.90831483119103
abcc13_2	0.706982320570567	0.591725743082559	0.368250382463876	7.72816183402362	2.88499295722867	8.11885869369979	12.026545734719	9.21555283447529	3.31957723964837
abcc2	0	0	0	0	0	0	0	0	0
abcc2_1	49.2816156102438	42.8066065616069	70.9222736188783	11.8549708996471	8.53686719007113	12.4542983984131	15.2446262323602	2.83824092019313	29.128747525485
abcc3	0	0	0	0	0	0	0	0	0
abcc4	0	0	0	0	0	0	0	0	0
abcc4_1	14.8885173384009	16.8668104726899	13.6301350114497	86.6858112018623	103.642225807733	131.62046302172	97.427949877695	78.226485691773	17.7278169676868
abcc5	0	0	0	0	0	0	0	0	0
abcc6a	0	0	0	0	0	0	0	0	0
abcc6b.2	0	0	0	0	0	0	0	0	0
abcc8	0	0	0	0	0	0	0	0	0
abcc8_1	58.5125407250876	59.1192268893324	118.109666482821	19.6803695797539	14.1360847079876	29.6790736624731	23.6651318460638	18.4332346482071	74.6324792572311
abcc8b	0	0	0	0	0	0	0	0	0
abcc9	0	0	0	0	0	0	0	0	0
abcd1	0	0	0	0	0	0	0	0	0
abcd3a	0	0	0	0	0	0	0	0	0
abcd3a_1	24.6599823669253	51.5684127961515	62.9511017834178	37.1746733782655	14.0786493448738	25.5126876509731	11.3376590143684	37.5087189702167	113.098703643852
abcd3a_2	37.2169582875731	33.127376156148	22.3855607051003	25.7060283682008	8.08281175264092	23.2874337392969	10.0492275391887	16.6841954163419	36.7892971416179
abcd3b	0	0	0	0	0	0	0	0	0
abcd4	0	0	0	0	0	0	0	0	0
abce1	0	0	0	0	0	0	0	0	0
abcf1	0	0	0	0	0	0	0	0	0
abcf2a	0	0	0	0	0	0	0	0	0
abcf2b	0	0	0	0	0	0	0	0	0
abcf3	0	0	0	0	0	0	0	0	0
abcg1	0	0	0	0	0	0	0	0	0
abcg2a	0	0	0	0	0	0	0	0	0
abcg2b	0	0	0	0	0	0	0	0	0
abcg2b_1	0	0	1.39685282395021	57.5016728781322	11.265262815977	81.7293733493034	19.9584315121004	11.3747575489046	0.662729985434433
abcg2c	0	0	0	0	0	0	0	0	0
abcg2d	0	0	0	0	0	0	0	0	0
abcg4a	0	0	0	0	0	0	0	0	0
abcg4b	0	0	0	0	0	0	0	0	0
abcg5	0	0	0	0	0	0	0	0	0
abcg5_1	1.81839707866324	1.01463391778811	1.26288008474953	5.3515682867206	6.69287300227006	4.81895706076129	0	0	0
abcg8	0	0	0	0	0	0	0	0	0
abcg8_1	1.21167480926985	0.676093452436909	1.89339831684346	5.85838927126069	5.23535175372746	4.01384339124237	0.572553312755886	0	0.299437854732784
abch1	0	0	0	0	0	0	0	0	0
abch1_1	9.02683952129132	16.7893977543954	50.7064128426766	59.531913080272	52.6834871056785	47.2188673498043	95.1782379640166	54.7859793431911	32.8930397490656
abhd10a	0	0	0	0	0	0	0	0	0
abhd10b	0	0	0	0	0	0	0	0	0
abhd10b_1	58.029468354968	68.8798852697747	57.154955971156	188.968670587316	227.93745453199	183.143510193119	219.864111208299	234.893210528192	59.9700432370552
abhd11	0	0	0	0	0	0	0	0	0
abhd12	0	0	0	0	0	0	0	0	0
abhd12_1	19.1865801347995	45.6779850331347	129.697784703777	67.0426182580826	78.6019934532233	58.0027862112545	68.9034578318432	49.7549681311817	91.4587806508657
abhd13	0	0	0	0	0	0	0	0	0
abhd14a	0	0	0	0	0	0	0	0	0
abhd14b	0	0	0	0	0	0	0	0	0
abhd15a	0	0	0	0	0	0	0	0	0
abhd15a_1	11.2391912447866	0.855173601615417	2.12881058192494	20.6194900257677	1.47156994308712	2.03080381674265	2.17262485010671	5.49652255348152	8.83753290999405
abhd16a	0	0	0	0	0	0	0	0	0
abhd17aa	0	0	0	0	0	0	0	0	0
abhd17ab	0	0	0	0	0	0	0	0	0
abhd17ab_1	16.7975632785088	16.9077021319738	23.1031327250114	18.18634323005	16.9718038847687	20.5605057240288	48.2467047475049	36.7086574887066	24.6354969426848
abhd17b	0	0	0	0	0	0	0	0	0
abhd17c	0	0	0	0	0	0	0	0	0
abhd17c_1	63.4088803870774	51.4864047254186	71.2651208394249	59.8156079672673	82.2686755288638	38.7477302328732	73.0271996390174	68.2786284018438	73.688605916059
abhd18	0	0	0	0	0	0	0	0	0
abhd2a	0	0	0	0	0	0	0	0	0
abhd2b	0	0	0	0	0	0	0	0	0
abhd2b_1	19.3934494019435	11.7081913884088	17.5535816887134	28.8717616659323	23.8104225571721	73.5816622498742	118.080348233234	78.9366629773382	23.8846803637212
abhd3	0	0	0	0	0	0	0	0	0
abhd4	0	0	0	0	0	0	0	0	0
abhd5a	0	0	0	0	0	0	0	0	0
abhd6a	0	0	0	0	0	0	0	0	0
abhd6b	0	0	0	0	0	0	0	0	0
abhd6b_1	1.89641411504153	0	3.45729052904204	13.9529338168623	20.0296397381754	18.0087977287196	0.448056762267078	12.5561197144151	0
abhd8a	0	0	0	0	0	0	0	0	0
abhd8b	0	0	0	0	0	0	0	0	0
abhd8b_1	5.94472787562986	6.16024440035881	1.32705782439063	11.0685298216283	13.0467156027406	2.81324971657676	17.857629286577	18.9771060707593	4.4073126265325
abi1a	0	0	0	0	0	0	0	0	0
abi1b	0	0	0	0	0	0	0	0	0
abi2a	0	0	0	0	0	0	0	0	0
abi2a_1	113.695384379911	80.6144223749508	493.401259670272	151.589966935045	139.323223133378	164.80249621217	168.594129359531	120.610335611954	285.00833429609
abi2b	0	0	0	0	0	0	0	0	0
abi3a	0	0	0	0	0	0	0	0	0
abi3b	0	0	0	0	0	0	0	0	0
abi3bp	0	0	0	0	0	0	0	0	0
abi3bpb	0	0	0	0	0	0	0	0	0
abi3bpb_1	21.2001493338466	39.3038507580495	25.8255682258276	6.75677403203507	39.8906196176281	9.81688420736426	23.7516846311263	3.6789413520556	16.0554120269727
abi3bpb_2	20.2618309787264	10.6407049379704	26.9612462732141	7.44490863769999	7.6838142647363	0.902456035995959	13.0339663121965	1.12733760838533	18.3458923060366
abl1	0	0	0	0	0	0	0	0	0
abl2	0	0	0	0	0	0	0	0	0
ablim1a	0	0	0	0	0	0	0	0	0
ablim1b	0	0	0	0	0	0	0	0	0
ablim1b_1	8.07205558006142	22.2553874446338	81.1229469543075	13.1756929138243	23.2515908360626	14.6806857826141	9.42354622882542	7.85954671292287	36.6109029253379
ablim2	0	0	0	0	0	0	0	0	0
ablim2_1	44.6681394578073	24.6053225030524	59.3863044294227	10.5666687526908	8.55584646117509	4.64218040954476	8.63715953542554	4.25467019938415	18.1814115301184
ablim3	0	0	0	0	0	0	0	0	0
ablim3_1	11.2099958580878	14.2971029964056	36.7024234553136	18.8521006557562	18.8910064812008	15.9653903062904	29.40411610603	12.496419310591	31.4343719276538
ablim3_2	8.94195926233258	13.8169595611278	30.5733267810009	14.0739253187312	11.4477120606367	10.1270081878491	17.1180787402126	18.9758116770569	12.9188409260128
abo	0	0	0	0	0	0	0	0	0
abraa	0	0	0	0	0	0	0	0	0
abrab	0	0	0	0	0	0	0	0	0
abracl	0	0	0	0	0	0	0	0	0
abraxas2a	0	0	0	0	0	0	0	0	0
abraxas2a_1	43.522101266226	46.1161625025558	65.4900537169496	206.268619303056	196.27947473588	255.531021431451	213.964507317222	171.367258610252	43.0219875396266
abraxas2b	0	0	0	0	0	0	0	0	0
abt1	0	0	0	0	0	0	0	0	0
abtb1	0	0	0	0	0	0	0	0	0
abtb2a	0	0	0	0	0	0	0	0	0
abtb2b	0	0	0	0	0	0	0	0	0
abtb2b_1	6.29350864902433	5.4625950984638	11.655608600654	11.8775261562767	7.11710647117036	20.137752588145	12.8207048526392	9.14407316907109	13.2718714854378
acaa1	0	0	0	0	0	0	0	0	0
acaa2	0	0	0	0	0	0	0	0	0
acaca	0	0	0	0	0	0	0	0	0
acaca_1	124.141486211482	159.601282945877	275.048214325663	228.90842853212	228.293189453573	273.037078652762	311.070602746361	223.637354461918	205.901564932961
acacb	0	0	0	0	0	0	0	0	0
acad11	0	0	0	0	0	0	0	0	0
acad11_1	26.6588518880579	23.0028484231432	19.4689831343418	75.3375702945709	87.0825065437891	70.1634001719466	85.1928995430413	80.0653585144799	26.8958650578857
acad8	0	0	0	0	0	0	0	0	0
acad8_1	0.753173542967192	107.165720330687	138.87784569007	9.49971589397988	155.120653671014	49.567202144846	178.660533264398	102.851654398422	67.3789517587009
acad9	0	0	0	0	0	0	0	0	0
acadl	0	0	0	0	0	0	0	0	0
acadl_1	289.132488932962	278.917842607367	227.40195065047	68.3397817107879	70.0945347693599	76.8775065241188	83.6056834770314	67.2638260365415	217.912395825944
acadm	0	0	0	0	0	0	0	0	0
acads	0	0	0	0	0	0	0	0	0
acadsb	64.9997841960722	142.285088920984	113.104206970592	28.5291238365104	81.9569336738852	38.4896032365031	85.3927296619266	57.0466462405016	127.446626346982
acadvl	0	0	0	0	0	0	0	0	0
acana	0	0	0	0	0	0	0	0	0
acanb	0	0	0	0	0	0	0	0	0
acanb_1	3.61683757221527	13.1552334773715	18.6997021199765	1.01375276776945	1.28621187551227	1.89333865151781	1.51916986147624	2.66077875807408	24.7620994202685
acap1	0	0	0	0	0	0	0	0	0
acap1_1	11.8461853475346	11.5141329676065	25.8758625099617	338.673910637961	220.698679630545	291.320268870458	382.087073990398	305.03617270869	12.0878043752166
acap2	0	0	0	0	0	0	0	0	0
acap3a	0	0	0	0	0	0	0	0	0
acap3b	0	0	0	0	0	0	0	0	0
acat1	0	0	0	0	0	0	0	0	0
acat2	0	0	0	0	0	0	0	0	0
acbd3	0	0	0	0	0	0	0	0	0
acbd4	0	0	0	0	0	0	0	0	0
acbd5a	0	0	0	0	0	0	0	0	0
acbd5b	0	0	0	0	0	0	0	0	0
acbd6	0	0	0	0	0	0	0	0	0
acbd7	0	0	0	0	0	0	0	0	0
accs	0	0	0	0	0	0	0	0	0
acd	0	0	0	0	0	0	0	0	0
ace	0	0	0	0	0	0	0	0	0
ace2	0	0	0	0	0	0	0	0	0
acer1	0	0	0	0	0	0	0	0	0
acer2	0	0	0	0	0	0	0	0	0
acer3	0	0	0	0	0	0	0	0	0
ache	0	0	0	0	0	0	0	0	0
acin1a	0	0	0	0	0	0	0	0	0
acin1a_1	457.575327124605	529.218559962654	611.210518334567	336.209925079877	364.507156904482	408.818628700112	444.100805615955	362.17779579382	356.187603848309
acin1b	0	0	0	0	0	0	0	0	0
ackr3a	0	0	0	0	0	0	0	0	0
ackr3a_1	35.7847832766121	35.9849992641009	124.53609144014	52.9055561094925	29.4509206360979	26.7479683728464	34.1904388217396	17.2490487761851	69.5809966356165
ackr3b	0	0	0	0	0	0	0	0	0
ackr3b_1	53.6691558362509	21.1597704286817	23.1005347045963	40.2641804429455	10.4914250855543	40.88028003223	11.2375041650474	5.05352217532772	44.4751010875694
ackr4a	0	0	0	0	0	0	0	0	0
ackr4b	0	0	0	0	0	0	0	0	0
ackr4b_1	27.0337003065643	36.460529739349	64.0055254285942	26.1352494979175	30.9539463206626	21.1989843018193	26.5048570827205	23.4505072592407	46.7296207182094
aclya	0	0	0	0	0	0	0	0	0
aclyb	0	0	0	0	0	0	0	0	0
acmsd	0	0	0	0	0	0	0	0	0
aco1	0	0	0	0	0	0	0	0	0
aco2	0	0	0	0	0	0	0	0	0
aco2_1	511.286421019593	500.229894710716	241.411008927917	163.38500148094	196.5403160884	27.8428630177319	57.5435845256815	42.537535494307	438.141069879971
acot11a	0	0	0	0	0	0	0	0	0
acot11b	0	0	0	0	0	0	0	0	0
acot12	0	0	0	0	0	0	0	0	0
acot13	0	0	0	0	0	0	0	0	0
acot13_1	11.094022572993	72.9076419526395	29.5351390909592	100.540854531791	107.704835501189	272.226012178319	132.804024335962	172.411218828562	148.65755358427
acot14	0	0	0	0	0	0	0	0	0
acot14_1	2.43282045241772	2.37557506431484	1.90079801715355	12.7854017039153	21.0232493481386	21.2221919997148	43.1093206294581	35.738860165392	2.10425673684958
acot15	0	0	0	0	0	0	0	0	0
acot15_1	8.7463372406052	6.05830833469992	6.59799776836075	19.2737452895495	17.664661904837	55.4159308511834	164.17633363442	153.26001852602	13.11781532216
acot16	0	0	0	0	0	0	0	0	0
acot16_1	1.47075707799736	1.6413136972922	1.14912390464067	1.54587816231037	3.8834785847939	2.27364194459624	1.38995517745227	4.5646186092625	0
acot17	0	0	0	0	0	0	0	0	0
acot17_1	0	0.38809274993236	0	3.2166356443247	5.34259359598259	4.30086682927534	11.8317022563353	17.5568662061216	1.03130411979196
acot18	0	0	0	0	0	0	0	0	0
acot18_1	46.1109580194358	44.6725240276231	64.1362671612085	51.1291180227879	61.7893672250062	38.0473799682681	49.8030500619405	46.7595046838246	57.1015923713873
acot19	0	0	0	0	0	0	0	0	0
acot20	0	0	0	0	0	0	0	0	0
acot21	0	0	0	0	0	0	0	0	0
acot22	0	0	0	0	0	0	0	0	0
acot7	0	0	0	0	0	0	0	0	0
acot8	0	0	0	0	0	0	0	0	0
acot9.1	0	0	0	0	0	0	0	0	0
acot9.1_1	97.5028341783607	62.0098681028766	94.4745968579092	174.771973131084	149.236916429674	148.877253969656	191.723394246343	167.898780700144	122.550773207615
acot9.2	0	0	0	0	0	0	0	0	0
