gene	zcount_ZF4_10_1	zcount_ZF4_10_2	zcount_ZF4_10_3	zcount_ZF4_20_1	zcount_ZF4_20_2	zcount_ZF4_20_3	zcount_ZF4_25_1	zcount_ZF4_25_2	zcount_ZF4_25_3	zcount_ZF4_5_1	zcount_ZF4_5_2	zcount_ZF4_5_3	zcount_ZF4_wt_1	zcount_ZF4_wt_2	zcount_ZF4_wt_3
a1cf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a2ml	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aacs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadacl4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaed1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aagab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aagab_1	159.964647765722	168.33100947158	155.463769540843	118.342409852941	193.058897379163	130.184092289636	198.81617096624	172.760971794187	199.913550022327	184.609310892009	180.153561349751	137.519878844838	162.361794743443	184.140483026113	164.673274504703
aak1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aak1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aamdc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aamp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aanat1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aanat2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aar2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aars_1	708.968871107462	686.32107202487	529.12817811869	297.859019568688	566.537163012543	375.685076687773	643.660466448205	751.058480981793	729.609027405035	631.804229873805	592.447319316397	335.222309001473	1674.93324802743	2040.76310990995	1934.52167690898
aars2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aars2_1	5.06227859988451	3.63369947755192	5.8627393155785	3.31951295486084	3.11019003158748	4.06968306593845	7.11456611400133	6.37355328968175	6.37900358497547	2.17103796226596	4.70030449464026	5.90885565745123	11.767331640934	10.7703267437375	10.8936433757046
aarsd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aasdh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aasdhppt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aatf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aatf_1	35.1160272275895	50.9685321366784	26.7008693601419	31.523328018318	30.4585047814435	18.0823373936202	39.6184879078447	49.4665778788973	33.3175631020247	24.1403930628815	18.2362091676771	30.6553134244412	162.345530928706	96.2897111112854	125.842902349998
aatka	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aatkb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aatkb_1	11.9599613990292	10.9921377783135	9.9452649729396	8.42154584969282	15.4250645261404	9.2868653223527	18.2303558957177	16.1984666141684	18.5891472193928	6.39000725220808	6.41068871610019	2.8157684402509	28.9068423294479	35.5906012498452	30.3187809488042
