gene	zcount_DGC1	zcount_DGC2	zcount_DGC3	zcount_DGH1	zcount_DGH2	zcount_DGH3	zcount_dugill1	zcount_dugill2	zcount_dugill3	zcount_WGC1	zcount_WGC2	zcount_WGC3	zcount_WGH1	zcount_WGH2	zcount_WGH3	zcount_wtgill1	zcount_wtgill2	zcount_wtgill4
a1cf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a2ml	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aacs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadacl4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaed1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aagab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aagab_1	60.221931441908	59.3246602451709	60.1108831361185	48.0207585743609	32.3827738988779	74.0609071921079	66.307277071809	92.9985399816701	86.0858547292561	50.3282973878301	59.9755521828658	61.6885866228026	65.7280822374715	69.051544253212	61.6752324247198	105.421136696708	78.0707586538444	84.2092372457575
aak1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aak1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aamdc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aamp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aanat1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aanat2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aar2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aars_1	150.008830076327	139.53348707379	131.232896271235	321.386921029855	257.415237274376	363.90020393341	62.4766069330624	187.401071199953	183.55265351319	159.285123438901	180.411605590369	153.18699834343	212.239706707422	279.57310850889	287.90095082356	202.962236504343	228.378743391394	89.0887478448742
aars2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aars2_1	11.5041812773897	8.57715467382536	14.3733867384602	3.60201391773373	1.97764967529502	2.9228233337706	20.2447345505278	11.8402164300443	13.9145192574167	15.2021177341162	12.8515574328211	9.4332236091363	9.77879968428809	8.23039955406864	7.6900815952969	16.0812442368992	6.51212189883549	17.6204359548144
aarsd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
