gene	zcount_A1	zcount_A2	zcount_A3	zcount_A4	zcount_A5	zcount_A6
a1cf	0	0	0	0	0	0
a2ml	0	0	0	0	0	0
aaas	0	0	0	0	0	0
aacs	0	0	0	0	0	0
aadac	0	0	0	0	0	0
aadacl4	0	0	0	0	0	0
aadat	0	0	0	0	0	0
aaed1	0	0	0	0	0	0
aagab	0	0	0	0	0	0
aagab_1	204.075643703384	265.321855134031	253.891345726627	193.720491229041	227.991852355178	218.676793580682
aak1a	0	0	0	0	0	0
aak1b	0	0	0	0	0	0
aamdc	0	0	0	0	0	0
aamp	0	0	0	0	0	0
aanat1	0	0	0	0	0	0
aanat2	0	0	0	0	0	0
aar2	0	0	0	0	0	0
aars	0	0	0	0	0	0
aars_1	243.645375655741	200.646806131023	202.592517882904	193.796201247015	189.950756652486	189.407441222076
aars2	0	0	0	0	0	0
aars2_1	59.5459784539028	56.1436423460612	29.2132746937348	50.6188385701389	34.4677956314764	59.4514044895609
aarsd1	0	0	0	0	0	0
aasdh	0	0	0	0	0	0
aasdhppt	0	0	0	0	0	0
aass	0	0	0	0	0	0
aatf	0	0	0	0	0	0
aatf_1	45.7698419025741	37.09117740972	26.8784201607369	53.3171195718474	48.9199577482757	14.6958630113829
aatka	0	0	0	0	0	0
aatkb	0	0	0	0	0	0
aatkb_1	5.79676072391733	12.8700585799922	3.77721633428681	1.5538711237605	0.71880074590001	1.9399262335755
aatkb_2	13.0106049289166	7.69762429413783	8.61455472988015	16.7732253030959	12.7173176741214	15.8914226820102
abat	0	0	0	0	0	0
abca12	0	0	0	0	0	0
abca1a	0	0	0	0	0	0
abca1b	0	0	0	0	0	0
abca2	0	0	0	0	0	0
abca3b	0	0	0	0	0	0
abca4a	0	0	0	0	0	0
abca4b	0	0	0	0	0	0
abca5	0	0	0	0	0	0
abcb10	0	0	0	0	0	0
abcb11a	0	0	0	0	0	0
abcb11b	0	0	0	0	0	0
abcb3l1	0	0	0	0	0	0
abcb4	0	0	0	0	0	0
abcb5	0	0	0	0	0	0
abcb6a	0	0	0	0	0	0
abcb6b	0	0	0	0	0	0
abcb7	0	0	0	0	0	0
abcb8	0	0	0	0	0	0
abcb9	0	0	0	0	0	0
abcb9_1	82.7469799975684	83.0592839648221	51.3113211625391	59.3470376436369	96.4758241631561	77.6810380217792
abcc1	0	0	0	0	0	0
abcc10	0	0	0	0	0	0
abcc10_1	45.0814510974715	59.5504362509351	33.4124150090892	42.2474516656254	48.2158884725133	46.7855291610705
abcc10_2	33.4815455519233	48.4547139409318	31.0074082732164	37.8274019779809	41.7490631941487	33.4758527618004
abcc12	0	0	0	0	0	0
abcc13	0	0	0	0	0	0
abcc13_1	7.05249402564836	4.58634170992674	3.14426370990233	8.6835497302391	6.69483022938882	4.25894635274077
abcc13_2	1.37066837721152	2.02076728981706	0.974333060675628	2.62355629413613	0.943929243415646	1.28675321236555
abcc2	0	0	0	0	0	0
abcc2_1	55.518285604314	26.554179220747	31.858365090049	23.8812677808613	38.37436799903	36.7824308733959
abcc3	0	0	0	0	0	0
abcc4	0	0	0	0	0	0
abcc4_1	140.906939852132	108.231852481226	124.977678742456	211.23407343831	217.372051793876	158.847535203428
abcc5	0	0	0	0	0	0
abcc6a	0	0	0	0	0	0
abcc6b.2	0	0	0	0	0	0
abcc8	0	0	0	0	0	0
abcc8_1	15.9683357115794	17.1613789009336	14.3070085797056	12.1409084782006	16.8006811972403	12.9271835090141
abcc8b	0	0	0	0	0	0
abcc9	0	0	0	0	0	0
abcd1	0	0	0	0	0	0
abcd3a	0	0	0	0	0	0
abcd3a_1	41.5056101649092	56.0619200564221	42.4051341897207	82.4425880437851	114.919126298568	80.5104003747423
abcd3a_2	22.9583183955753	37.6300360474078	29.0037454423006	26.1238361667949	143.493465033966	81.5355828528236
abcd3b	0	0	0	0	0	0
abcd4	0	0	0	0	0	0
abce1	0	0	0	0	0	0
abcf1	0	0	0	0	0	0
abcf2a	0	0	0	0	0	0
abcf2b	0	0	0	0	0	0
abcf3	0	0	0	0	0	0
abcg1	0	0	0	0	0	0
abcg2a	0	0	0	0	0	0
abcg2b	0	0	0	0	0	0
abcg2b_1	23.8692366220413	10.9502921682217	29.3358462602211	63.5803868733295	38.1070313486557	55.5883854999131
abcg2c	0	0	0	0	0	0
abcg2d	0	0	0	0	0	0
abcg4a	0	0	0	0	0	0
abcg4b	0	0	0	0	0	0
abcg5	0	0	0	0	0	0
abcg5_1	3.84592778798361	3.71251689807467	4.80323904047529	4.99846655195685	6.24301067418051	5.8837323128224
abcg8	0	0	0	0	0	0
abcg8_1	3.84405629027657	2.96856825640696	2.08734856429414	3.99682736650876	2.31110100473403	8.57626755816711
abch1	0	0	0	0	0	0
abch1_1	60.2703650800613	50.1573664846924	31.8328074837072	48.8967138148421	74.8114632032856	44.6708615914085
abhd10a	0	0	0	0	0	0
abhd10b	0	0	0	0	0	0
abhd10b_1	136.865778199565	122.783630901917	43.9855641741151	22.1868375077834	84.9241484031949	65.2907303704871
abhd11	0	0	0	0	0	0
abhd12	0	0	0	0	0	0
abhd12_1	47.4934032302092	50.4885346006201	41.719807160731	38.3248863853223	68.3120300406145	45.526386258873
abhd13	0	0	0	0	0	0
abhd14a	0	0	0	0	0	0
abhd14b	0	0	0	0	0	0
abhd15a	0	0	0	0	0	0
abhd15a_1	10.0846668920127	13.9764505670699	1.40812517016806	13.9025876005228	3.11813709625174	11.3644720178421
abhd16a	0	0	0	0	0	0
abhd17aa	0	0	0	0	0	0
abhd17ab	0	0	0	0	0	0
abhd17ab_1	32.4309763713618	46.712411031208	32.7575672440457	30.9635167708997	49.8384651854218	42.5397132252155
abhd17b	0	0	0	0	0	0
abhd17c	0	0	0	0	0	0
abhd17c_1	57.8421236303421	94.8432630185661	46.8258812919939	61.4736564010944	62.5959049239491	51.1087038367005
abhd18	0	0	0	0	0	0
abhd2a	0	0	0	0	0	0
abhd2b	0	0	0	0	0	0
abhd2b_1	35.4138757487771	98.6616850284386	31.1087428266942	36.7047763452685	35.8987875168441	77.6669693458937
abhd3	0	0	0	0	0	0
