gene	zcount_KL-1	zcount_KL-2	zcount_KL-3	zcount_Kn-1	zcount_Kn-2	zcount_Kn-3
a1cf	0	0	0	0	0	0
a2ml	0	0	0	0	0	0
aaas	0	0	0	0	0	0
aacs	0	0	0	0	0	0
aadac	0	0	0	0	0	0
aadacl4	0	0	0	0	0	0
aadat	0	0	0	0	0	0
aaed1	0	0	0	0	0	0
aagab	0	0	0	0	0	0
aagab_1	126.468517296686	94.258533427872	138.094555673721	173.495187948185	107.202569945386	139.227773230516
aak1a	0	0	0	0	0	0
aak1b	0	0	0	0	0	0
aamdc	0	0	0	0	0	0
aamp	0	0	0	0	0	0
aanat1	0	0	0	0	0	0
aanat2	0	0	0	0	0	0
aar2	0	0	0	0	0	0
aars	0	0	0	0	0	0
aars_1	191.702735268953	319.461305471095	364.048188606671	276.26769118762	233.854602942077	379.423958441401
aars2	0	0	0	0	0	0
aars2_1	3.81732698278016	7.05055605360352	28.1056854960999	19.1481337912734	6.71121307899542	27.2442674597823
aarsd1	0	0	0	0	0	0
aasdh	0	0	0	0	0	0
aasdhppt	0	0	0	0	0	0
aass	0	0	0	0	0	0
aatf	0	0	0	0	0	0
aatf_1	59.0660738227737	72.4034865066162	167.399079616497	177.474495654596	69.6185464480115	208.886506201896
aatka	0	0	0	0	0	0
aatkb	0	0	0	0	0	0
aatkb_1	4.87372022810287	1.99832852191171	4.69571922906072	0.511189339965326	1.17055326267747	4.43242406974909
aatkb_2	0	5.16406781614448	3.76592513929673	1.83575147926216	1.89840828154221	3.05304120418286
abat	0	0	0	0	0	0
abca12	0	0	0	0	0	0
abca1a	0	0	0	0	0	0
abca1b	0	0	0	0	0	0
abca2	0	0	0	0	0	0
abca3b	0	0	0	0	0	0
abca4a	0	0	0	0	0	0
abca4b	0	0	0	0	0	0
abca5	0	0	0	0	0	0
abcb10	0	0	0	0	0	0
abcb11a	0	0	0	0	0	0
abcb11b	0	0	0	0	0	0
abcb3l1	0	0	0	0	0	0
abcb4	0	0	0	0	0	0
abcb5	0	0	0	0	0	0
abcb6a	0	0	0	0	0	0
abcb6b	0	0	0	0	0	0
abcb7	0	0	0	0	0	0
abcb8	0	0	0	0	0	0
abcb9	0	0	0	0	0	0
abcb9_1	353.243577707886	768.852273823681	182.45846912893	81.9756051909239	641.429833013536	106.214343914229
abcc1	0	0	0	0	0	0
abcc10	0	0	0	0	0	0
abcc10_1	34.301977429526	59.507478997407	73.7460217852427	63.1619980039032	38.1597550929782	88.5665389525795
abcc10_2	34.0694216503428	58.1652050350595	70.2915238197425	57.6567119588044	37.2511894955263	81.5056239376591
abcc12	0	0	0	0	0	0
abcc13	0	0	0	0	0	0
abcc13_1	0.163713498906264	0	0.422935802201685	0.837964279192103	3.19803819683859	0
abcc13_2	0	0	0.851875803753195	0.738423306646109	1.61036931916333	0
abcc2	0	0	0	0	0	0
abcc2_1	46.4458637019472	41.4882521447788	9.64187485164158	7.58074703706996	28.5842689919819	6.92842314264889
abcc3	0	0	0	0	0	0
abcc4	0	0	0	0	0	0
abcc4_1	26.9355129260469	40.6887283252	24.5314068598381	14.4062214584843	53.9527702409667	10.9642495000371
abcc5	0	0	0	0	0	0
abcc6a	0	0	0	0	0	0
abcc6b.2	0	0	0	0	0	0
abcc8	0	0	0	0	0	0
abcc8_1	0.469530447237128	2.03253977197197	14.2525176165839	5.18207730903358	1.26114671847636	6.68799878320787
abcc8b	0	0	0	0	0	0
abcc9	0	0	0	0	0	0
abcd1	0	0	0	0	0	0
abcd3a	0	0	0	0	0	0
abcd3a_1	73.5708715632705	130.780853146089	88.7403311510901	71.8667264309225	112.341363735252	101.764820885677
abcd3a_2	38.230597656511	44.9273266298861	40.3066097601096	42.7063947219346	53.487757888068	39.1957252532024
abcd3b	0	0	0	0	0	0
abcd4	0	0	0	0	0	0
abce1	0	0	0	0	0	0
abcf1	0	0	0	0	0	0
abcf2a	0	0	0	0	0	0
abcf2b	0	0	0	0	0	0
abcf3	0	0	0	0	0	0
abcg1	0	0	0	0	0	0
abcg2a	0	0	0	0	0	0
abcg2b	0	0	0	0	0	0
abcg2b_1	0	1.80487780505211	0	0.200071304408615	0	0
abcg2c	0	0	0	0	0	0
abcg2d	0	0	0	0	0	0
abcg4a	0	0	0	0	0	0
abcg4b	0	0	0	0	0	0
abcg5	0	0	0	0	0	0
abcg5_1	0	0.543923739691946	0	0	0	0
abcg8	0	0	0	0	0	0
abcg8_1	0	0	0	0	2.75996143167554	0
abch1	0	0	0	0	0	0
abch1_1	13.3739079415018	13.9771543640601	6.71805923342272	0.845112112111001	8.06329363391135	0
abhd10a	0	0	0	0	0	0
abhd10b	0	0	0	0	0	0
abhd10b_1	53.6401729556241	229.12464867898	318.782574211992	588.469558105108	84.5951568312213	674.401748488042
abhd11	0	0	0	0	0	0
abhd12	0	0	0	0	0	0
abhd12_1	27.8413867420797	53.5653118444575	61.6501352223031	81.1772873421157	22.5314933590006	84.6817818535538
abhd13	0	0	0	0	0	0
abhd14a	0	0	0	0	0	0
abhd14b	0	0	0	0	0	0
abhd15a	0	0	0	0	0	0
abhd15a_1	1.90625122895533	45.3856039275332	57.8639348783263	40.5529838606026	6.5165441435622	34.8340191035312
abhd16a	0	0	0	0	0	0
abhd17aa	0	0	0	0	0	0
abhd17ab	0	0	0	0	0	0
abhd17ab_1	41.9900582106548	28.3738250495811	31.6831316625261	25.4896134708227	31.3094989819257	33.6291240403598
abhd17b	0	0	0	0	0	0
abhd17c	0	0	0	0	0	0
abhd17c_1	38.7975888475922	95.8548922642955	123.232745652468	142.56318558358	29.8184661139623	96.9532353727008
abhd18	0	0	0	0	0	0
abhd2a	0	0	0	0	0	0
abhd2b	0	0	0	0	0	0
abhd2b_1	0	0	0	0	0	0
abhd3	0	0	0	0	0	0
abhd4	0	0	0	0	0	0
abhd5a	0	0	0	0	0	0
abhd6a	0	0	0	0	0	0
abhd6b	0	0	0	0	0	0
abhd6b_1	8.84526703153873	12.7633590402962	37.7037765297101	59.7055133225548	7.34343127308341	49.7337304794103
abhd8a	0	0	0	0	0	0
