gene	zcount_SL-1	zcount_SL-2	zcount_SL-3	zcount_Sn-1	zcount_Sn-2	zcount_Sn-3
a1cf	0	0	0	0	0	0
a2ml	0	0	0	0	0	0
aaas	0	0	0	0	0	0
aacs	0	0	0	0	0	0
aadac	0	0	0	0	0	0
aadacl4	0	0	0	0	0	0
aadat	0	0	0	0	0	0
aaed1	0	0	0	0	0	0
aagab	0	0	0	0	0	0
aagab_1	63.1802329943869	155.689965558123	188.781648232654	125.746978906435	7.79889677711876	40.6559945010875
aak1a	0	0	0	0	0	0
aak1b	0	0	0	0	0	0
aamdc	0	0	0	0	0	0
aamp	0	0	0	0	0	0
aanat1	0	0	0	0	0	0
aanat2	0	0	0	0	0	0
aar2	0	0	0	0	0	0
aars	0	0	0	0	0	0
aars_1	135.571914916871	258.061985178473	363.951755639239	215.509289360102	52.3244434830844	99.6202172951327
aars2	0	0	0	0	0	0
aars2_1	5.23980773666672	15.7950777869316	18.8520152709886	13.1416498913821	0.602991220100254	5.0294719223417
aarsd1	0	0	0	0	0	0
aasdh	0	0	0	0	0	0
aasdhppt	0	0	0	0	0	0
aass	0	0	0	0	0	0
aatf	0	0	0	0	0	0
aatf_1	43.3195409185729	116.48989128106	127.361246127901	54.2550079547545	5.64272110053073	36.9407157695256
aatka	0	0	0	0	0	0
aatkb	0	0	0	0	0	0
aatkb_1	9.71530705796283	5.10173811326674	2.65909003893501	9.38426716028916	1.93516929117406	16.4480270712932
aatkb_2	60.3463161664531	28.7226717359105	9.34048886793468	24.2723900411856	6.57908208172502	55.6374308897267
abat	0	0	0	0	0	0
abca12	0	0	0	0	0	0
abca1a	0	0	0	0	0	0
abca1b	0	0	0	0	0	0
abca2	0	0	0	0	0	0
abca3b	0	0	0	0	0	0
abca4a	0	0	0	0	0	0
abca4b	0	0	0	0	0	0
abca5	0	0	0	0	0	0
abcb10	0	0	0	0	0	0
abcb11a	0	0	0	0	0	0
abcb11b	0	0	0	0	0	0
abcb3l1	0	0	0	0	0	0
abcb4	0	0	0	0	0	0
abcb5	0	0	0	0	0	0
abcb6a	0	0	0	0	0	0
abcb6b	0	0	0	0	0	0
abcb7	0	0	0	0	0	0
abcb8	0	0	0	0	0	0
abcb9	0	0	0	0	0	0
abcb9_1	36.6525656203826	52.4683437330504	9.7765870841642	42.6719921605024	4.18157478125687	45.3413680468
abcc1	0	0	0	0	0	0
abcc10	0	0	0	0	0	0
abcc10_1	19.6039572438876	53.3100372686943	78.7711324575307	50.5086832583602	1.95919422029957	13.4050432563735
abcc10_2	16.4812029926489	43.2123143320056	78.396626281029	45.2105696298608	1.89796940091521	13.4050432563735
abcc12	0	0	0	0	0	0
abcc13	0	0	0	0	0	0
abcc13_1	0	1.88167405393292	2.46066853080491	1.65766246660562	0	0
abcc13_2	0.491987971817978	1.89503062728566	4.42524097446916	1.00165737121808	0.173626773427315	0
abcc2	0	0	0	0	0	0
abcc2_1	19.0920645550127	13.1642956001974	9.54031751402594	20.5148667518378	21.4297986002632	17.5621031917965
abcc3	0	0	0	0	0	0
abcc4	0	0	0	0	0	0
abcc4_1	38.5393995126278	56.3010772329274	18.7514113876089	23.4379476207833	4.43206012691433	53.7180225892943
abcc5	0	0	0	0	0	0
abcc6a	0	0	0	0	0	0
abcc6b.2	0	0	0	0	0	0
abcc8	0	0	0	0	0	0
abcc8_1	28.5469382240848	26.2336798312673	22.3057907583443	8.43866469784838	1.97780795152134	14.4990006978968
abcc8b	0	0	0	0	0	0
abcc9	0	0	0	0	0	0
abcd1	0	0	0	0	0	0
abcd3a	0	0	0	0	0	0
abcd3a_1	33.0848742204661	91.8384233740633	96.5623589013973	24.9710108321544	42.9936326603026	42.6639046231832
abcd3a_2	9.86637230885646	48.2956310827171	34.8320953423006	18.8318715022958	14.2541402095092	28.9288602536755
abcd3b	0	0	0	0	0	0
abcd4	0	0	0	0	0	0
abce1	0	0	0	0	0	0
abcf1	0	0	0	0	0	0
abcf2a	0	0	0	0	0	0
abcf2b	0	0	0	0	0	0
abcf3	0	0	0	0	0	0
abcg1	0	0	0	0	0	0
abcg2a	0	0	0	0	0	0
abcg2b	0	0	0	0	0	0
abcg2b_1	0	0.399347685592059	0	1.89975081390957	0	0
abcg2c	0	0	0	0	0	0
abcg2d	0	0	0	0	0	0
abcg4a	0	0	0	0	0	0
abcg4b	0	0	0	0	0	0
abcg5	0	0	0	0	0	0
abcg5_1	1.26541989051333	1.08313824558586	0	9.16023956229817	6.99638128347547	0
abcg8	0	0	0	0	0	0
abcg8_1	1.26480411441089	4.33044468405521	1.21348505787487	2.86118188274946	11.3077921403495	9.30758234582262
abch1	0	0	0	0	0	0
abch1_1	24.6343707242382	9.91034024759435	1.06356772558979	1.83898255500573	2.82544620704544	2.71923254487709
abhd10a	0	0	0	0	0	0
abhd10b	0	0	0	0	0	0
abhd10b_1	41.1168523972895	348.169587532227	586.444934590142	347.800905152288	18.0085542257478	137.779825953946
abhd11	0	0	0	0	0	0
abhd12	0	0	0	0	0	0
abhd12_1	86.3423726527721	109.206548089766	81.5580398358178	87.3904892386219	10.8899663673192	16.3759261307067
abhd13	0	0	0	0	0	0
abhd14a	0	0	0	0	0	0
abhd14b	0	0	0	0	0	0
abhd15a	0	0	0	0	0	0
abhd15a_1	38.2178961735461	90.6825680504913	86.9780477982327	26.2983354873395	3.57573546087682	17.6593901811643
abhd16a	0	0	0	0	0	0
abhd17aa	0	0	0	0	0	0
abhd17ab	0	0	0	0	0	0
abhd17ab_1	15.5094652671434	29.820496065068	33.0955577589854	29.8652889856515	1.8873873333673	21.9269896268652
abhd17b	0	0	0	0	0	0
abhd17c	0	0	0	0	0	0
abhd17c_1	33.6877043287916	103.427113953699	166.156408321558	80.2854530713673	6.41877072300707	24.4413238489701
abhd18	0	0	0	0	0	0
abhd2a	0	0	0	0	0	0
abhd2b	0	0	0	0	0	0
abhd2b_1	0	0	0	0	0	0
abhd3	0	0	0	0	0	0
abhd4	0	0	0	0	0	0
abhd5a	0	0	0	0	0	0
abhd6a	0	0	0	0	0	0
abhd6b	0	0	0	0	0	0
