gene	zcount_L1HFK240241--Normal	zcount_L1HFK240242--G1	zcount_L1HFK240243--G5	zcount_L1HFK240244--G10	zcount_L1HFK240245--G15	zcount_L1HFK240246--G20	zcount_L1HFK240247--G25
a1cf	0	0	0	0	0	0	0
a2ml	0	0	0	0	0	0	0
aaas	0	0	0	0	0	0	0
aacs	0	0	0	0	0	0	0
aadac	0	0	0	0	0	0	0
aadacl4	0	0	0	0	0	0	0
aadat	0	0	0	0	0	0	0
aaed1	0	0	0	0	0	0	0
aagab	0	0	0	0	0	0	0
aagab_1	96.0494810681749	133.734426501936	115.735456915811	107.55159198429	15.2662797685643	61.3605763627533	53.690670864233
aak1a	0	0	0	0	0	0	0
aak1b	0	0	0	0	0	0	0
aamdc	0	0	0	0	0	0	0
aamp	0	0	0	0	0	0	0
aanat1	0	0	0	0	0	0	0
aanat2	0	0	0	0	0	0	0
aar2	0	0	0	0	0	0	0
aars	0	0	0	0	0	0	0
aars_1	1582.39481601362	1086.15283492127	789.497671776552	505.92585123607	91.008183986623	671.577085932642	442.485338734475
aars2	0	0	0	0	0	0	0
aars2_1	12.3966142330203	30.0566803764458	8.76057103316809	10.9531740977489	5.8588312706336	8.92822009648696	15.5126518658143
aarsd1	0	0	0	0	0	0	0
aasdh	0	0	0	0	0	0	0
aasdhppt	0	0	0	0	0	0	0
aass	0	0	0	0	0	0	0
aatf	0	0	0	0	0	0	0
aatf_1	70.7448711800835	77.6754489971692	75.948289109131	67.0023175644768	22.6165894339582	36.1756944154205	33.491504329139
aatka	0	0	0	0	0	0	0
aatkb	0	0	0	0	0	0	0
aatkb_1	32.5728017384445	25.4693859077679	23.1078269870057	32.7430345751318	1.60581602683921	2.17193744560126	1.97557481232643
aatkb_2	3.78414820897519	3.28952870118989	1.6975360372581	0.865994672847345	0.225482189759902	0	0.0995029711021917
abat	0	0	0	0	0	0	0
abca12	0	0	0	0	0	0	0
abca1a	0	0	0	0	0	0	0
abca1b	0	0	0	0	0	0	0
abca2	0	0	0	0	0	0	0
abca3b	0	0	0	0	0	0	0
abca4a	0	0	0	0	0	0	0
abca4b	0	0	0	0	0	0	0
abca5	0	0	0	0	0	0	0
abcb10	0	0	0	0	0	0	0
abcb11a	0	0	0	0	0	0	0
abcb11b	0	0	0	0	0	0	0
abcb3l1	0	0	0	0	0	0	0
abcb4	0	0	0	0	0	0	0
abcb5	0	0	0	0	0	0	0
abcb6a	0	0	0	0	0	0	0
abcb6b	0	0	0	0	0	0	0
abcb7	0	0	0	0	0	0	0
abcb8	0	0	0	0	0	0	0
abcb9	0	0	0	0	0	0	0
abcb9_1	41.0662687639503	10.884919983723	15.2378218028846	16.7766307642942	2.19269505793323	15.7502304915937	12.522060626635
abcc1	0	0	0	0	0	0	0
abcc10	0	0	0	0	0	0	0
abcc10_1	10.3910038247493	20.5997196484704	12.4676677155595	8.7036452982687	2.05374361724345	6.85860298691428	5.81279461199931
abcc10_2	10.3230887670712	20.5361402668393	12.3583022092827	8.63111492078313	2.05374361724345	6.62004288302161	5.81279461199931
abcc12	0	0	0	0	0	0	0
abcc13	0	0	0	0	0	0	0
abcc13_1	0	0	0	0	0.0997092795710195	0	0
abcc13_2	0	0	0	0	0	0	0
abcc2	0	0	0	0	0	0	0
abcc2_1	7.33560224295243	9.78266276509055	7.2993720999179	9.68177685703864	1.87622713336025	3.40321734824729	3.82135262616905
abcc3	0	0	0	0	0	0	0
abcc4	0	0	0	0	0	0	0
abcc4_1	77.6171279090629	87.7352842172627	30.6782233896401	37.2126964717145	6.60045078959157	27.5230236912664	13.5737990366766
abcc5	0	0	0	0	0	0	0
abcc6a	0	0	0	0	0	0	0
abcc6b.2	0	0	0	0	0	0	0
abcc8	0	0	0	0	0	0	0
abcc8_1	0.137120597551822	0.385100584433743	1.04884328164383	1.31795041296403	0.214474720823776	0.301033242076005	0.315484960933471
abcc8b	0	0	0	0	0	0	0
abcc9	0	0	0	0	0	0	0
abcd1	0	0	0	0	0	0	0
abcd3a	0	0	0	0	0	0	0
abcd3a_1	113.419067368891	109.12468268615	63.2521767642572	44.8569581340269	7.69942815593961	33.8022298814346	38.4327562526458
abcd3a_2	19.1913451562508	23.7289112782137	10.3986358012595	4.89830419793312	1.38446866940301	3.3917983169822	7.44250354565393
abcd3b	0	0	0	0	0	0	0
abcd4	0	0	0	0	0	0	0
abce1	0	0	0	0	0	0	0
abcf1	0	0	0	0	0	0	0
abcf2a	0	0	0	0	0	0	0
abcf2b	0	0	0	0	0	0	0
abcf3	0	0	0	0	0	0	0
abcg1	0	0	0	0	0	0	0
abcg2a	0	0	0	0	0	0	0
abcg2b	0	0	0	0	0	0	0
abcg2b_1	0	0	0.294114883331464	0	0	0	0
abcg2c	0	0	0	0	0	0	0
abcg2d	0	0	0	0	0	0	0
abcg4a	0	0	0	0	0	0	0
abcg4b	0	0	0	0	0	0	0
abcg5	0	0	0	0	0	0	0
abcg5_1	0.495376530736757	1.08208764511166	2.39315581553981	2.11616380815744	0	0.145005983305745	0
abcg8	0	0	0	0	0	0	0
abcg8_1	0	1.54508725968672	0.398665210471919	0.705044681582382	0	0.579741683133819	0.15189334323483
abch1	0	0	0	0	0	0	0
abch1_1	1.83229689020308	2.16672458480947	2.09647798341715	1.13289273721707	0	0.338745851248222	0.177504020669648
abhd10a	0	0	0	0	0	0	0
abhd10b	0	0	0	0	0	0	0
