gene	zcount_FAC_hypoxia-1	zcount_FAC_hypoxia-2	zcount_FAC_hypoxia-3	zcount_WT_hypoxia-1	zcount_WT_hypoxia-2	zcount_WT_hypoxia-3	zcount_WT_normoxia-1	zcount_WT_normoxia-2	zcount_WT_normoxia-3
a1cf	0	0	0	0	0	0	0	0	0
a2ml	0	0	0	0	0	0	0	0	0
aaas	0	0	0	0	0	0	0	0	0
aacs	0	0	0	0	0	0	0	0	0
aadac	0	0	0	0	0	0	0	0	0
aadacl4	0	0	0	0	0	0	0	0	0
aadat	0	0	0	0	0	0	0	0	0
aaed1	0	0	0	0	0	0	0	0	0
aagab	0	0	0	0	0	0	0	0	0
aagab_1	0	114.219287902365	139.844214495546	142.20385834144	102.59637092128	109.725819510715	118.736970471743	147.871276132494	150.942295886628
aak1a	0	0	0	0	0	0	0	0	0
aak1b	0	0	0	0	0	0	0	0	0
aamdc	0	0	0	0	0	0	0	0	0
aamp	0	0	0	0	0	0	0	0	0
aanat1	0	0	0	0	0	0	0	0	0
aanat2	0	0	0	0	0	0	0	0	0
aar2	0	0	0	0	0	0	0	0	0
aars	0	0	0	0	0	0	0	0	0
aars_1	0	682.84806686441	884.69826469293	788.662648929444	444.428664798678	1008.30950744502	767.132506658891	1465.48131023166	1122.59672948368
aars2	0	0	0	0	0	0	0	0	0
aars2_1	0	12.5900498346201	9.00683866186601	11.7882897335019	7.84311492547245	12.9218547763773	10.8717923977813	13.9404211938376	14.6448331576136
aarsd1	0	0	0	0	0	0	0	0	0
aasdh	0	0	0	0	0	0	0	0	0
aasdhppt	0	0	0	0	0	0	0	0	0
aass	0	0	0	0	0	0	0	0	0
aatf	0	0	0	0	0	0	0	0	0
aatf_1	0	91.3632475499897	90.1355855146462	124.262950782523	90.5583677914513	102.902133089186	121.028760273036	177.844589035517	162.678878165593
aatka	0	0	0	0	0	0	0	0	0
aatkb	0	0	0	0	0	0	0	0	0
aatkb_1	0	9.05226841275492	14.8526240924599	13.0047342938182	6.57388849223882	16.1928933363559	19.1081765873159	27.1393168187736	27.7850748636933
aatkb_2	0	6.53343269242502	12.7388721717955	17.0896537307641	4.9742210134677	17.0122357933215	19.6431582898842	42.4986270501421	39.2759370136876
abat	0	0	0	0	0	0	0	0	0
abca12	0	0	0	0	0	0	0	0	0
abca1a	0	0	0	0	0	0	0	0	0
abca1b	0	0	0	0	0	0	0	0	0
abca2	0	0	0	0	0	0	0	0	0
abca3b	0	0	0	0	0	0	0	0	0
abca4a	0	0	0	0	0	0	0	0	0
abca4b	0	0	0	0	0	0	0	0	0
abca5	0	0	0	0	0	0	0	0	0
abcb10	0	0	0	0	0	0	0	0	0
abcb11a	0	0	0	0	0	0	0	0	0
abcb11b	0	0	0	0	0	0	0	0	0
abcb3l1	0	0	0	0	0	0	0	0	0
abcb4	0	0	0	0	0	0	0	0	0
abcb5	0	0	0	0	0	0	0	0	0
abcb6a	0	0	0	0	0	0	0	0	0
abcb6b	0	0	0	0	0	0	0	0	0
abcb7	0	0	0	0	0	0	0	0	0
abcb8	0	0	0	0	0	0	0	0	0
abcb9	0	0	0	0	0	0	0	0	0
abcb9_1	0	33.7927708891928	73.5638785090789	43.3266938438167	29.511502336901	59.3591156475415	21.7479309505777	20.18757748644	28.9330150724517
abcc1	0	0	0	0	0	0	0	0	0
abcc10	0	0	0	0	0	0	0	0	0
abcc10_1	0	11.8636652293866	11.3621056756927	14.7371522055333	8.46124053942597	12.8486308557344	10.6671990032157	13.8942393820073	17.1696399804349
abcc10_2	0	10.2082700811001	9.63007737147128	13.7646497757266	7.7423116047035	11.6577821422761	9.34043295803959	12.1769738404109	16.5277842802317
abcc12	0	0	0	0	0	0	0	0	0
abcc13	0	0	0	0	0	0	0	0	0
abcc13_1	0	0	0	0.315977346042484	0	0.0882450473344533	0.0747208303310893	0.769307850464249	0.338887866522552
abcc13_2	0	0	0.0982367899066659	0.424293638619228	0.235246435591928	0	0.0752512166906227	0.553406129957957	0.68258674761811
abcc2	0	0	0	0	0	0	0	0	0
abcc2_1	0	2.17879297156044	0.635362123334319	2.0581401382808	1.01432925462735	2.29916069868006	1.13563160352415	1.82939061266575	1.55333401268818
abcc3	0	0	0	0	0	0	0	0	0
abcc4	0	0	0	0	0	0	0	0	0
abcc4_1	0	24.8405754475148	31.9095663692879	50.9718578093107	23.0191130779244	42.0251568264941	28.9574153770932	93.6583371175217	50.0938775843021
abcc5	0	0	0	0	0	0	0	0	0
abcc6a	0	0	0	0	0	0	0	0	0
abcc6b.2	0	0	0	0	0	0	0	0	0
abcc8	0	0	0	0	0	0	0	0	0
abcc8_1	0	0.278520428897741	0.0699393519408283	0.0755186069949931	0.111655272037567	0.0632717167768962	0.160724551354987	0.315196505310196	0.0809942229334607
abcc8b	0	0	0	0	0	0	0	0	0
abcc9	0	0	0	0	0	0	0	0	0
abcd1	0	0	0	0	0	0	0	0	0
abcd3a	0	0	0	0	0	0	0	0	0
abcd3a_1	0	113.713643792411	79.6443730417823	148.262915870915	95.7066792429553	115.394130596306	102.06014747107	191.431594021671	172.168743292507
abcd3a_2	0	67.1758565696534	31.6439228936578	86.018891486241	58.5775345086884	66.1655084127443	79.887709270877	85.4550445596118	81.2764056532183
abcd3b	0	0	0	0	0	0	0	0	0
abcd4	0	0	0	0	0	0	0	0	0
abce1	0	0	0	0	0	0	0	0	0
abcf1	0	0	0	0	0	0	0	0	0
abcf2a	0	0	0	0	0	0	0	0	0
abcf2b	0	0	0	0	0	0	0	0	0
abcf3	0	0	0	0	0	0	0	0	0
abcg1	0	0	0	0	0	0	0	0	0
abcg2a	0	0	0	0	0	0	0	0	0
abcg2b	0	0	0	0	0	0	0	0	0
abcg2b_1	0	0	0	0	0	0.168554218037321	0	0.209918835725571	0.431533032689102
abcg2c	0	0	0	0	0	0	0	0	0
abcg2d	0	0	0	0	0	0	0	0	0
abcg4a	0	0	0	0	0	0	0	0	0
abcg4b	0	0	0	0	0	0	0	0	0
abcg5	0	0	0	0	0	0	0	0	0
abcg5_1	0	0	0	0	0.268918515467306	0	0	0.189785432299116	0.195072259421534
abcg8	0	0	0	0	0	0	0	0	0
abcg8_1	0	0.335241012592975	0	0	0.134393827437919	0	0.902794888705895	0.189693079290698	0.584932001243549
abch1	0	0	0	0	0	0	0	0	0
abch1_1	0	0.195882934568826	0.196752899659527	0.743569474446862	0.15705391833092	0.177995554674612	0.376790994006787	0.997547199738829	0.569630965100698
abhd10a	0	0	0	0	0	0	0	0	0
abhd10b	0	0	0	0	0	0	0	0	0
abhd10b_1	0	85.5312043633131	57.1763092711856	91.1814220810326	66.0021753716512	79.8428475012601	68.9539652979684	84.24060667399	77.7587782839571
abhd11	0	0	0	0	0	0	0	0	0
abhd12	0	0	0	0	0	0	0	0	0
abhd12_1	0	19.8182546554107	19.9062724796625	18.6795274402115	14.565621427835	15.221484921621	13.6148006087863	19.2239643916793	23.6016056118202
abhd13	0	0	0	0	0	0	0	0	0
abhd14a	0	0	0	0	0	0	0	0	0
abhd14b	0	0	0	0	0	0	0	0	0
abhd15a	0	0	0	0	0	0	0	0	0
abhd15a_1	0	0.141345974739139	0	0.153299363481424	0	0	0	0	0
abhd16a	0	0	0	0	0	0	0	0	0
abhd17aa	0	0	0	0	0	0	0	0	0
abhd17ab	0	0	0	0	0	0	0	0	0
abhd17ab_1	0	5.22461588673338	13.0585281211593	8.49967915268884	4.91959627052508	5.63078106795788	7.6659091305533	7.83763627609028	10.246626282807
abhd17b	0	0	0	0	0	0	0	0	0
abhd17c	0	0	0	0	0	0	0	0	0
abhd17c_1	0	16.977772529866	22.3586073045185	32.3260168187669	17.6456298621254	22.0554948151858	25.0617047691686	37.2882989488517	31.012714574877
abhd18	0	0	0	0	0	0	0	0	0
abhd2a	0	0	0	0	0	0	0	0	0
abhd2b	0	0	0	0	0	0	0	0	0
abhd2b_1	0	0	0	0	0	0	0	0	0.409273157152024
abhd3	0	0	0	0	0	0	0	0	0
abhd4	0	0	0	0	0	0	0	0	0
abhd5a	0	0	0	0	0	0	0	0	0
abhd6a	0	0	0	0	0	0	0	0	0
abhd6b	0	0	0	0	0	0	0	0	0
abhd6b_1	0	0.262345879999453	5.79724252028035	7.39783264958873	1.05171102583748	3.57583986552139	0.605563104000853	6.23473331057888	1.22065017776643
abhd8a	0	0	0	0	0	0	0	0	0
abhd8b	0	0	0	0	0	0	0	0	0
abhd8b_1	0	7.87136064441743	17.7007149071254	12.4869965152847	8.3833421109339	14.3051481950788	9.1297794350688	8.37606224773882	11.0692196756474
abi1a	0	0	0	0	0	0	0	0	0
abi1b	0	0	0	0	0	0	0	0	0
abi2a	0	0	0	0	0	0	0	0	0
abi2a_1	0	36.1491973821244	38.0554058240053	45.9919747266561	32.3277503376903	42.3236069707073	31.8255695630075	69.6246339009102	63.8821296615431
abi2b	0	0	0	0	0	0	0	0	0
abi3a	0	0	0	0	0	0	0	0	0
abi3b	0	0	0	0	0	0	0	0	0
abi3bp	0	0	0	0	0	0	0	0	0
abi3bpb	0	0	0	0	0	0	0	0	0
abi3bpb_1	0	0	0	0	0	0	0	0	0
abi3bpb_2	0	0	0	0	0	0	0	0	0
abl1	0	0	0	0	0	0	0	0	0
abl2	0	0	0	0	0	0	0	0	0
ablim1a	0	0	0	0	0	0	0	0	0
ablim1b	0	0	0	0	0	0	0	0	0
ablim1b_1	0	7.09414476877239	4.22260837896295	9.11891499750983	5.89856661386564	18.3839809938509	5.6605446111079	61.5504123066923	31.4796928663147
ablim2	0	0	0	0	0	0	0	0	0
ablim2_1	0	7.83869653412937	11.1118086729627	16.1804678872818	6.89307889380613	9.01850132401596	9.19280132131521	16.740266294461	13.8241040778389
ablim3	0	0	0	0	0	0	0	0	0
ablim3_1	0	0	0	0.274597977805388	0	0.115033143291182	0	0	0
ablim3_2	0	0	0	0.275204824165179	0	0	0	0	0.14757952885887
abo	0	0	0	0	0	0	0	0	0
abraa	0	0	0	0	0	0	0	0	0
abrab	0	0	0	0	0	0	0	0	0
abracl	0	0	0	0	0	0	0	0	0
abraxas2a	0	0	0	0	0	0	0	0	0
abraxas2a_1	0	117.982463356675	143.185116379978	127.696204534779	103.762285158743	103.450865533194	121.287105084375	146.732821428878	152.235162724778
abraxas2b	0	0	0	0	0	0	0	0	0
abt1	0	0	0	0	0	0	0	0	0
abtb1	0	0	0	0	0	0	0	0	0
abtb2a	0	0	0	0	0	0	0	0	0
abtb2b	0	0	0	0	0	0	0	0	0
abtb2b_1	0	34.8252220170022	67.2391209962604	116.500490168563	54.4168186008937	39.8728237927742	31.439758835621	62.0943311752754	48.970806772275
acaa1	0	0	0	0	0	0	0	0	0
acaa2	0	0	0	0	0	0	0	0	0
acaca	0	0	0	0	0	0	0	0	0
acaca_1	0	134.952085222437	76.4627890880339	192.839704422318	109.491991286353	239.030324234047	211.290914554944	620.188268778183	392.082850701726
acacb	0	0	0	0	0	0	0	0	0
acad11	0	0	0	0	0	0	0	0	0
acad11_1	0	26.7659976676881	13.5951910333615	24.7410959473	18.2900208864188	20.7288200592918	23.6366563387388	30.1184872582416	32.3726936052473
acad8	0	0	0	0	0	0	0	0	0
acad8_1	0	103.984035135633	68.4444776253889	118.653985554883	64.4919635442108	96.1927603816183	99.7287576434848	119.091793926742	111.501556921865
acad9	0	0	0	0	0	0	0	0	0
acadl	0	0	0	0	0	0	0	0	0
acadl_1	0	308.442066828935	176.692742380895	276.038308446338	222.88995008246	261.651357394285	218.18288208419	184.437890603589	207.630585502075
acadm	0	0	0	0	0	0	0	0	0
acads	0	0	0	0	0	0	0	0	0
acadsb	0	161.064265323015	72.4534369068941	123.244156949187	112.1829921357	175.807271402469	109.176692921618	149.620824408179	175.167502403382
acadvl	0	0	0	0	0	0	0	0	0
acana	0	0	0	0	0	0	0	0	0
acanb	0	0	0	0	0	0	0	0	0
acanb_1	0	0.0741252723131658	0	0.160787841103607	0	0.0673563982989683	0.0570335238184579	0	0.172446060190158
acap1	0	0	0	0	0	0	0	0	0
acap1_1	0	19.2424019521023	50.5497936305733	27.8644884467244	17.7168437432317	21.3281616337501	19.3610432393741	23.2120748682697	27.6711616610381
acap2	0	0	0	0	0	0	0	0	0
acap3a	0	0	0	0	0	0	0	0	0
acap3b	0	0	0	0	0	0	0	0	0
acat1	0	0	0	0	0	0	0	0	0
acat2	0	0	0	0	0	0	0	0	0
acbd3	0	0	0	0	0	0	0	0	0
acbd4	0	0	0	0	0	0	0	0	0
acbd5a	0	0	0	0	0	0	0	0	0
acbd5b	0	0	0	0	0	0	0	0	0
acbd6	0	0	0	0	0	0	0	0	0
acbd7	0	0	0	0	0	0	0	0	0
accs	0	0	0	0	0	0	0	0	0
acd	0	0	0	0	0	0	0	0	0
ace	0	0	0	0	0	0	0	0	0
ace2	0	0	0	0	0	0	0	0	0
acer1	0	0	0	0	0	0	0	0	0
acer2	0	0	0	0	0	0	0	0	0
acer3	0	0	0	0	0	0	0	0	0
ache	0	0	0	0	0	0	0	0	0
acin1a	0	0	0	0	0	0	0	0	0
acin1a_1	0	236.698890915296	254.784899055192	264.670137303224	193.196894341789	226.663234240353	214.849223066295	285.400621056421	285.353414291284
acin1b	0	0	0	0	0	0	0	0	0
ackr3a	0	0	0	0	0	0	0	0	0
ackr3a_1	0	0.21759958334762	0	0	0	0	0	0	0
ackr3b	0	0	0	0	0	0	0	0	0
ackr3b_1	0	12.2703921994375	22.8635604948702	14.4653026124509	10.8361527977564	26.0164349231514	7.11502779018452	19.3199022625033	17.5826875438336
ackr4a	0	0	0	0	0	0	0	0	0
ackr4b	0	0	0	0	0	0	0	0	0
ackr4b_1	0	34.9579845266991	17.1146921674227	28.2839105690151	26.1684070313629	52.9186653849935	27.6360005916823	57.7577100156157	34.3358888282224
aclya	0	0	0	0	0	0	0	0	0
aclyb	0	0	0	0	0	0	0	0	0
acmsd	0	0	0	0	0	0	0	0	0
aco1	0	0	0	0	0	0	0	0	0
aco2	0	0	0	0	0	0	0	0	0
aco2_1	0	126.645586732279	115.263633472779	137.248311514098	109.963225688359	145.156603805303	140.675828154537	233.375695454	230.539942952722
acot11a	0	0	0	0	0	0	0	0	0
acot11b	0	0	0	0	0	0	0	0	0
acot12	0	0	0	0	0	0	0	0	0
acot13	0	0	0	0	0	0	0	0	0
acot13_1	0	514.302863150928	219.926300337545	453.487141419789	494.388319025684	296.270252324665	437.701011571817	440.765955851687	446.696932553625
acot14	0	0	0	0	0	0	0	0	0
acot14_1	0	0.673102375064547	0.507068843260299	0.730025498396152	0.944433418512196	1.07036457267569	0.906323154025703	0.761737719477058	0.587218008087686
acot15	0	0	0	0	0	0	0	0	0
acot15_1	0	19.192304336491	24.4740970016892	22.2633902630428	13.5145885919948	22.1408704955012	15.2805908124712	19.6420566405078	23.4893841681548
acot16	0	0	0	0	0	0	0	0	0
acot16_1	0	0.813845576938645	0.408730034319288	0.882671113536281	0.489390399382617	0.554645923618379	0.939284531072794	0.230253560509382	0
acot17	0	0	0	0	0	0	0	0	0
acot17_1	0	0.57730749794293	0	0	0	0.174863230667768	1.03644888060928	0.435552265857413	0.223842693213313
acot18	0	0	0	0	0	0	0	0	0
acot18_1	0	20.1881400990055	24.220706364192	19.1584896822682	11.6901297517428	15.0324019461319	17.5826902666068	25.543713369444	23.1568318115425
acot19	0	0	0	0	0	0	0	0	0
acot20	0	0	0	0	0	0	0	0	0
acot21	0	0	0	0	0	0	0	0	0
acot22	0	0	0	0	0	0	0	0	0
acot7	0	0	0	0	0	0	0	0	0
acot8	0	0	0	0	0	0	0	0	0
acot9.1	0	0	0	0	0	0	0	0	0
acot9.1_1	0	67.1515979045841	54.9213558809817	83.2123790810265	47.2121271773806	73.8033273353141	64.5010971943444	89.1249970200905	87.5587791250948
acot9.2	0	0	0	0	0	0	0	0	0
acot9.2_1	0	1.10344946216535	0.369450052377231	2.19407156265165	0.442358753953428	1.50402917568486	1.69803386129871	0.624376846677606	0
acox1	0	0	0	0	0	0	0	0	0
acox3	0	0	0	0	0	0	0	0	0
acoxl	0	0	0	0	0	0	0	0	0
acp1	0	0	0	0	0	0	0	0	0
acp2	0	0	0	0	0	0	0	0	0
acp5a	0	0	0	0	0	0	0	0	0
acp5a_1	0	0.815772979133883	1.22909404636333	1.76952302571572	2.77977996538999	0.926599120471597	2.03993617963106	1.8463908961155	0.474456389404181
acp5b	0	0	0	0	0	0	0	0	0
acp5b_1	0	1.6222612579558	1.08631075055346	2.34593751211448	0.216781252264461	2.70255652421378	0.624100750041696	0	2.20152978490017
acp5b_2	0	0.542030118708547	1.08887481998828	1.76360605257701	0.217292931066029	2.21640176715794	0.417049229243704	0	1.5762329695194
acp6	0	0	0	0	0	0	0	0	0
acrc	0	0	0	0	0	0	0	0	0
acsbg1	0	0	0	0	0	0	0	0	0
acsbg2	0	0	0	0	0	0	0	0	0
acsf2	0	0	0	0	0	0	0	0	0
acsf3	0	0	0	0	0	0	0	0	0
acsf3_1	0	21.870485107256	12.7606012838706	20.5806184682069	16.8905183545401	26.4490840821897	18.3123941210492	22.9305457613168	20.2022733202604
